Car_id,Dealer_Name,Dealer_No ,Phone,Dealer_Region
37,Enterprise Rent A Car,60504-7114,6125796,Aurora
38,Gartner Buick Hyundai Saab,38701-8047,7438037,Greenville
39,Hatfield Volkswagen,99301-3882,6837588,Pasco
40,Star Enterprises Inc,99301-3882,7213857,Pasco
41,Suburban Ford,53546-9427,7704004,Janesville
42,Tri-State Mack Inc,85257-3102,8018700,Scottsdale
43,U-Haul CO,78758-7841,6793858,Austin
44,Diehl Motor CO Inc,06457-3834,6739543,Middletown
45,Enterprise Rent A Car,60504-7114,6091237,Aurora
46,Gartner Buick Hyundai Saab,38701-8047,6547535,Greenville
47,Hatfield Volkswagen,99301-3882,8689761,Pasco
48,Rabun Used Car Sales,85257-3102,6404807,Scottsdale
49,Race Car Help,78758-7841,7117432,Austin
50,Ryder Truck Rental and Leasing,06457-3834,7836930,Middletown
51,Saab-Belle Dodge,60504-7114,7316398,Aurora
52,Progressive Shippers Cooperative Association No,53546-9427,7680267,Austin
53,C & M Motors Inc,60504-7114,6402878,Scottsdale
54,Scrivener Performance Engineering,38701-8047,7890478,Middletown
55,Chrysler of Tri-Cities,99301-3882,8523869,Middletown
56,Iceberg Rentals,53546-9427,8852693,Janesville
57,McKinney Dodge Chrysler Jeep,85257-3102,6444851,Scottsdale
58,Motor Vehicle Branch Office,78758-7841,6052630,Austin
59,Buddy Storbeck's Diesel Service Inc,06457-3834,8939776,Middletown
60,C & M Motors Inc,60504-7114,7177888,Aurora
61,Ryder Truck Rental and Leasing,06457-3834,6139882,Janesville
62,Iceberg Rentals,53546-9427,7181009,Janesville
63,McKinney Dodge Chrysler Jeep,85257-3102,7936565,Austin
64,Nebo Chevrolet,06457-3834,7419754,Middletown
65,Scrivener Performance Engineering,38701-8047,8637804,Greenville
66,Star Enterprises Inc,99301-3882,8380613,Pasco
67,Suburban Ford,53546-9427,6595676,Janesville
68,Chrysler Plymouth,53546-9427,7244029,Aurora
69,Classic Chevy,85257-3102,6741165,Greenville
70,Clay Johnson Auto Sales,78758-7841,8822935,Pasco
71,Nebo Chevrolet,06457-3834,8026457,Middletown
72,New Castle Ford Lincoln Mercury,60504-7114,8872334,Aurora
73,Pars Auto Sales,38701-8047,6204993,Greenville
74,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,7031644,Pasco
75,Progressive Shippers Cooperative Association No,53546-9427,7179280,Janesville
76,Rabun Used Car Sales,85257-3102,6245275,Scottsdale
77,Chrysler of Tri-Cities,99301-3882,7072635,Pasco
78,Motor Vehicle Branch Office,78758-7841,6766211,Austin
79,Classic Chevy,85257-3102,8011357,Scottsdale
80,Clay Johnson Auto Sales,78758-7841,7539127,Austin
81,Tri-State Mack Inc,85257-3102,6559063,Greenville
82,Enterprise Rent A Car,60504-7114,8082987,Aurora
83,New Castle Ford Lincoln Mercury,60504-7114,7328070,Aurora
84,Pars Auto Sales,38701-8047,7078803,Greenville
85,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8636283,Pasco
86,Progressive Shippers Cooperative Association No,53546-9427,7109521,Janesville
87,Rabun Used Car Sales,85257-3102,7305344,Scottsdale
88,Race Car Help,78758-7841,8941079,Austin
89,Tri-State Mack Inc,85257-3102,6136111,Scottsdale
90,U-Haul CO,78758-7841,8001444,Austin
91,Buddy Storbeck's Diesel Service Inc,06457-3834,7696195,Middletown
92,Race Car Help,78758-7841,8188037,Austin
93,Saab-Belle Dodge,60504-7114,8351089,Aurora
94,Chrysler of Tri-Cities,99301-3882,6130679,Pasco
95,Diehl Motor CO Inc,06457-3834,6260413,Janesville
96,Enterprise Rent A Car,60504-7114,8750989,Scottsdale
97,Gartner Buick Hyundai Saab,38701-8047,6784534,Austin
98,Hatfield Volkswagen,99301-3882,7944735,Janesville
99,Iceberg Rentals,53546-9427,8099375,Scottsdale
100,McKinney Dodge Chrysler Jeep,85257-3102,6641303,Austin
101,Race Car Help,78758-7841,8158584,Austin
102,Ryder Truck Rental and Leasing,06457-3834,7159142,Middletown
103,Gartner Buick Hyundai Saab,38701-8047,7495544,Greenville
104,Buddy Storbeck's Diesel Service Inc,06457-3834,6682438,Janesville
105,Ryder Truck Rental and Leasing,06457-3834,7189696,Middletown
106,Saab-Belle Dodge,60504-7114,8844816,Aurora
107,Chrysler Plymouth,53546-9427,8002612,Janesville
108,Chrysler of Tri-Cities,99301-3882,6633882,Pasco
109,Motor Vehicle Branch Office,78758-7841,8884667,Middletown
110,Nebo Chevrolet,06457-3834,6759578,Aurora
111,Saab-Belle Dodge,60504-7114,6376331,Aurora
112,Scrivener Performance Engineering,38701-8047,6729016,Greenville
113,Star Enterprises Inc,99301-3882,7270473,Pasco
114,Suburban Ford,53546-9427,7281617,Janesville
115,McKinney Dodge Chrysler Jeep,85257-3102,7824922,Austin
116,U-Haul CO,78758-7841,8944331,Janesville
117,Motor Vehicle Branch Office,78758-7841,7757499,Austin
118,Nebo Chevrolet,06457-3834,6586288,Middletown
119,Scrivener Performance Engineering,38701-8047,8486170,Greenville
120,Star Enterprises Inc,99301-3882,6732905,Pasco
121,Suburban Ford,53546-9427,7212279,Janesville
122,Tri-State Mack Inc,85257-3102,8144887,Scottsdale
123,Clay Johnson Auto Sales,78758-7841,8668755,Austin
124,Diehl Motor CO Inc,06457-3834,8892301,Middletown
125,Enterprise Rent A Car,60504-7114,6238423,Aurora
126,Gartner Buick Hyundai Saab,38701-8047,7552575,Greenville
127,Suburban Ford,53546-9427,6278363,Greenville
128,Pars Auto Sales,38701-8047,6323753,Pasco
129,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8368721,Janesville
130,Progressive Shippers Cooperative Association No,53546-9427,6328688,Scottsdale
131,Tri-State Mack Inc,85257-3102,6553517,Scottsdale
132,New Castle Ford Lincoln Mercury,60504-7114,8070819,Aurora
133,U-Haul CO,78758-7841,7541816,Austin
134,Hatfield Volkswagen,99301-3882,8368460,Pasco
135,Rabun Used Car Sales,85257-3102,7578367,Austin
136,U-Haul CO,78758-7841,6435654,Austin
137,Buddy Storbeck's Diesel Service Inc,06457-3834,7906708,Middletown
138,C & M Motors Inc,60504-7114,6536878,Aurora
139,Capitol KIA,38701-8047,6374244,Greenville
140,Chrysler of Tri-Cities,99301-3882,6500188,Pasco
141,Chrysler Plymouth,53546-9427,8574162,Janesville
142,Pars Auto Sales,38701-8047,6655590,Greenville
143,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,6691774,Pasco
144,Progressive Shippers Cooperative Association No,53546-9427,7264601,Janesville
145,Rabun Used Car Sales,85257-3102,7583887,Scottsdale
146,Race Car Help,78758-7841,8687698,Austin
147,Ryder Truck Rental and Leasing,06457-3834,7808972,Middletown
148,Progressive Shippers Cooperative Association No,53546-9427,6099473,Janesville
149,Rabun Used Car Sales,85257-3102,8406767,Scottsdale
150,Race Car Help,78758-7841,7946702,Austin
151,Ryder Truck Rental and Leasing,06457-3834,6420448,Middletown
152,Saab-Belle Dodge,60504-7114,7232005,Aurora
153,Scrivener Performance Engineering,38701-8047,7622532,Greenville
154,Iceberg Rentals,53546-9427,7398647,Janesville
155,McKinney Dodge Chrysler Jeep,85257-3102,7387235,Scottsdale
156,Motor Vehicle Branch Office,78758-7841,8931658,Austin
157,Nebo Chevrolet,06457-3834,7887874,Middletown
158,New Castle Ford Lincoln Mercury,60504-7114,8238020,Aurora
159,Pars Auto Sales,38701-8047,6735346,Greenville
160,Race Car Help,78758-7841,6859342,Middletown
161,Diehl Motor CO Inc,06457-3834,7891679,Middletown
162,Gartner Buick Hyundai Saab,38701-8047,8493769,Greenville
163,Scrivener Performance Engineering,38701-8047,8239781,Pasco
164,Star Enterprises Inc,99301-3882,6539980,Janesville
165,Rabun Used Car Sales,85257-3102,6815074,Scottsdale
166,Classic Chevy,85257-3102,8431840,Scottsdale
167,Clay Johnson Auto Sales,78758-7841,8808261,Austin
168,Diehl Motor CO Inc,06457-3834,8193979,Middletown
169,Enterprise Rent A Car,60504-7114,6422078,Aurora
170,Saab-Belle Dodge,60504-7114,7960177,Aurora
171,Scrivener Performance Engineering,38701-8047,6642461,Greenville
172,Star Enterprises Inc,99301-3882,7781272,Pasco
173,Nebo Chevrolet,06457-3834,6438030,Austin
174,Star Enterprises Inc,99301-3882,7063414,Pasco
175,Suburban Ford,53546-9427,7033838,Janesville
176,Tri-State Mack Inc,85257-3102,8626515,Scottsdale
177,U-Haul CO,78758-7841,8692179,Austin
178,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8280131,Pasco
179,Progressive Shippers Cooperative Association No,53546-9427,6775570,Janesville
180,Rabun Used Car Sales,85257-3102,8957521,Scottsdale
181,Race Car Help,78758-7841,6492064,Austin
182,Race Car Help,78758-7841,6729766,Austin
183,U-Haul CO,78758-7841,8827586,Middletown
184,Progressive Shippers Cooperative Association No,53546-9427,8378577,Aurora
185,Rabun Used Car Sales,85257-3102,6300537,Greenville
186,Gartner Buick Hyundai Saab,38701-8047,7658357,Greenville
187,Hatfield Volkswagen,99301-3882,7154079,Pasco
188,Iceberg Rentals,53546-9427,7160297,Janesville
189,McKinney Dodge Chrysler Jeep,85257-3102,8063218,Scottsdale
190,Tri-State Mack Inc,85257-3102,8641482,Scottsdale
191,U-Haul CO,78758-7841,6554530,Austin
192,Progressive Shippers Cooperative Association No,53546-9427,6440545,Janesville
193,Rabun Used Car Sales,85257-3102,7293423,Scottsdale
194,Buddy Storbeck's Diesel Service Inc,06457-3834,6687979,Middletown
195,C & M Motors Inc,60504-7114,8525846,Aurora
196,Capitol KIA,38701-8047,6436923,Greenville
197,Chrysler of Tri-Cities,99301-3882,7273916,Pasco
198,Ryder Truck Rental and Leasing,06457-3834,8283096,Middletown
199,Saab-Belle Dodge,60504-7114,6784925,Aurora
200,Scrivener Performance Engineering,38701-8047,7826082,Greenville
201,Star Enterprises Inc,99301-3882,6471180,Pasco
202,Race Car Help,78758-7841,8928940,Pasco
203,Ryder Truck Rental and Leasing,06457-3834,7428074,Janesville
204,Saab-Belle Dodge,60504-7114,8948624,Scottsdale
205,Ryder Truck Rental and Leasing,06457-3834,7941618,Middletown
206,Motor Vehicle Branch Office,78758-7841,7356041,Austin
207,Nebo Chevrolet,06457-3834,8854864,Middletown
208,Race Car Help,78758-7841,6668924,Austin
209,Ryder Truck Rental and Leasing,06457-3834,7296907,Middletown
210,Chrysler Plymouth,53546-9427,7555872,Janesville
211,Classic Chevy,85257-3102,6327935,Scottsdale
212,Suburban Ford,53546-9427,6171876,Janesville
213,Tri-State Mack Inc,85257-3102,8997806,Scottsdale
214,Star Enterprises Inc,99301-3882,7104776,Middletown
215,Suburban Ford,53546-9427,8210697,Aurora
216,New Castle Ford Lincoln Mercury,60504-7114,8717945,Aurora
217,Pars Auto Sales,38701-8047,6719698,Greenville
218,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8884589,Pasco
219,Progressive Shippers Cooperative Association No,53546-9427,7091817,Janesville
220,Rabun Used Car Sales,85257-3102,6053967,Scottsdale
221,Saab-Belle Dodge,60504-7114,7755205,Aurora
222,Scrivener Performance Engineering,38701-8047,6075959,Greenville
223,Star Enterprises Inc,99301-3882,6579013,Pasco
224,Suburban Ford,53546-9427,6175694,Janesville
225,Tri-State Mack Inc,85257-3102,7778542,Scottsdale
226,Clay Johnson Auto Sales,78758-7841,8652954,Austin
227,Diehl Motor CO Inc,06457-3834,8165932,Middletown
228,Enterprise Rent A Car,60504-7114,8439749,Aurora
229,Gartner Buick Hyundai Saab,38701-8047,6548543,Greenville
230,Hatfield Volkswagen,99301-3882,7638367,Pasco
231,Chrysler Plymouth,53546-9427,6042502,Janesville
232,Diehl Motor CO Inc,06457-3834,7856638,Middletown
233,Rabun Used Car Sales,85257-3102,7774440,Scottsdale
234,Race Car Help,78758-7841,6944597,Austin
235,Ryder Truck Rental and Leasing,06457-3834,8669480,Middletown
236,Tri-State Mack Inc,85257-3102,6063129,Greenville
237,U-Haul CO,78758-7841,6972050,Pasco
238,Buddy Storbeck's Diesel Service Inc,06457-3834,8725531,Janesville
239,C & M Motors Inc,60504-7114,7853364,Scottsdale
240,Star Enterprises Inc,99301-3882,6090926,Pasco
241,Race Car Help,78758-7841,6059431,Austin
242,Ryder Truck Rental and Leasing,06457-3834,7474014,Middletown
243,Suburban Ford,53546-9427,6410028,Janesville
244,Buddy Storbeck's Diesel Service Inc,06457-3834,6249100,Middletown
245,Iceberg Rentals,53546-9427,7798861,Janesville
246,McKinney Dodge Chrysler Jeep,85257-3102,6712658,Scottsdale
247,Enterprise Rent A Car,60504-7114,7391292,Aurora
248,Scrivener Performance Engineering,38701-8047,7186099,Greenville
249,Chrysler of Tri-Cities,99301-3882,7445427,Middletown
250,U-Haul CO,78758-7841,6723919,Austin
251,Saab-Belle Dodge,60504-7114,7019166,Aurora
252,C & M Motors Inc,60504-7114,8939266,Aurora
253,Motor Vehicle Branch Office,78758-7841,6711152,Austin
254,Star Enterprises Inc,99301-3882,6628315,Pasco
255,Classic Chevy,85257-3102,8350736,Greenville
256,Scrivener Performance Engineering,38701-8047,7134389,Greenville
257,Capitol KIA,38701-8047,8387204,Greenville
258,Nebo Chevrolet,06457-3834,8530223,Middletown
259,Suburban Ford,53546-9427,7658291,Janesville
260,Clay Johnson Auto Sales,78758-7841,7810244,Pasco
261,Star Enterprises Inc,99301-3882,8364023,Pasco
262,Suburban Ford,53546-9427,7546455,Janesville
263,Tri-State Mack Inc,85257-3102,6194175,Scottsdale
264,U-Haul CO,78758-7841,7025992,Austin
265,Chrysler of Tri-Cities,99301-3882,8108037,Pasco
266,Chrysler Plymouth,53546-9427,8672450,Janesville
267,Classic Chevy,85257-3102,7085492,Scottsdale
268,Clay Johnson Auto Sales,78758-7841,8594191,Austin
269,New Castle Ford Lincoln Mercury,60504-7114,8541398,Aurora
270,Pars Auto Sales,38701-8047,7848361,Greenville
271,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,6534513,Pasco
272,Progressive Shippers Cooperative Association No,53546-9427,6484440,Janesville
273,Tri-State Mack Inc,85257-3102,6179651,Scottsdale
274,U-Haul CO,78758-7841,7691251,Austin
275,Buddy Storbeck's Diesel Service Inc,06457-3834,6154930,Middletown
276,C & M Motors Inc,60504-7114,8711691,Aurora
277,Diehl Motor CO Inc,06457-3834,6575129,Janesville
278,Enterprise Rent A Car,60504-7114,7712199,Scottsdale
279,Gartner Buick Hyundai Saab,38701-8047,8429371,Austin
280,Hatfield Volkswagen,99301-3882,6632898,Janesville
281,Progressive Shippers Cooperative Association No,53546-9427,8164247,Janesville
282,Diehl Motor CO Inc,06457-3834,7536144,Middletown
283,Rabun Used Car Sales,85257-3102,6911603,Scottsdale
284,Capitol KIA,38701-8047,6226752,Greenville
285,Iceberg Rentals,53546-9427,8221235,Scottsdale
286,Rabun Used Car Sales,85257-3102,6988136,Scottsdale
287,Race Car Help,78758-7841,8690744,Austin
288,Ryder Truck Rental and Leasing,06457-3834,8027275,Middletown
289,Enterprise Rent A Car,60504-7114,6608005,Aurora
290,Gartner Buick Hyundai Saab,38701-8047,7465437,Greenville
291,Hatfield Volkswagen,99301-3882,6535530,Pasco
292,Race Car Help,78758-7841,8160891,Austin
293,Ryder Truck Rental and Leasing,06457-3834,6044969,Middletown
294,Saab-Belle Dodge,60504-7114,7272811,Aurora
295,Chrysler of Tri-Cities,99301-3882,6894798,Pasco
296,Chrysler Plymouth,53546-9427,6730472,Janesville
297,New Castle Ford Lincoln Mercury,60504-7114,6779688,Aurora
298,McKinney Dodge Chrysler Jeep,85257-3102,8547639,Austin
299,Motor Vehicle Branch Office,78758-7841,7348351,Middletown
300,Nebo Chevrolet,06457-3834,7915626,Aurora
301,Saab-Belle Dodge,60504-7114,8740005,Aurora
302,Scrivener Performance Engineering,38701-8047,7058375,Greenville
303,Star Enterprises Inc,99301-3882,7599809,Pasco
304,Iceberg Rentals,53546-9427,6737724,Janesville
305,McKinney Dodge Chrysler Jeep,85257-3102,8987884,Scottsdale
306,Motor Vehicle Branch Office,78758-7841,7580732,Austin
307,Scrivener Performance Engineering,38701-8047,6994009,Greenville
308,Star Enterprises Inc,99301-3882,6214183,Pasco
309,Suburban Ford,53546-9427,6374482,Janesville
310,Clay Johnson Auto Sales,78758-7841,6569596,Austin
311,Diehl Motor CO Inc,06457-3834,8123167,Middletown
312,Enterprise Rent A Car,60504-7114,8382877,Aurora
313,New Castle Ford Lincoln Mercury,60504-7114,7360406,Greenville
314,Rabun Used Car Sales,85257-3102,7081916,Aurora
315,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8843585,Janesville
316,Suburban Ford,53546-9427,6038590,Janesville
317,Tri-State Mack Inc,85257-3102,7539875,Scottsdale
318,U-Haul CO,78758-7841,6862992,Austin
319,Buddy Storbeck's Diesel Service Inc,06457-3834,6503890,Middletown
320,C & M Motors Inc,60504-7114,7275191,Aurora
321,Capitol KIA,38701-8047,8835994,Greenville
322,Nebo Chevrolet,06457-3834,6838769,Middletown
323,New Castle Ford Lincoln Mercury,60504-7114,6181924,Aurora
324,Pars Auto Sales,38701-8047,7890074,Greenville
325,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,7480624,Pasco
326,Progressive Shippers Cooperative Association No,53546-9427,7410063,Janesville
327,Rabun Used Car Sales,85257-3102,8148532,Scottsdale
328,Tri-State Mack Inc,85257-3102,7592271,Scottsdale
329,U-Haul CO,78758-7841,8047606,Austin
330,Progressive Shippers Cooperative Association No,53546-9427,8924275,Janesville
331,Rabun Used Car Sales,85257-3102,6697665,Austin
332,Race Car Help,78758-7841,8372194,Austin
333,Ryder Truck Rental and Leasing,06457-3834,7561365,Middletown
334,Gartner Buick Hyundai Saab,38701-8047,6395931,Greenville
335,Hatfield Volkswagen,99301-3882,8716925,Pasco
336,Iceberg Rentals,53546-9427,8962316,Janesville
337,McKinney Dodge Chrysler Jeep,85257-3102,6034632,Scottsdale
338,Motor Vehicle Branch Office,78758-7841,7457602,Austin
339,Nebo Chevrolet,06457-3834,8920349,Middletown
340,Progressive Shippers Cooperative Association No,53546-9427,7148486,Scottsdale
341,Saab-Belle Dodge,60504-7114,6796602,Janesville
342,Race Car Help,78758-7841,7691935,Middletown
343,Ryder Truck Rental and Leasing,06457-3834,6417156,Aurora
344,Saab-Belle Dodge,60504-7114,7976159,Greenville
345,Scrivener Performance Engineering,38701-8047,7161187,Pasco
346,Chrysler of Tri-Cities,99301-3882,8982126,Pasco
347,Chrysler Plymouth,53546-9427,8879181,Janesville
348,Classic Chevy,85257-3102,8138829,Scottsdale
349,Clay Johnson Auto Sales,78758-7841,6872309,Austin
350,Diehl Motor CO Inc,06457-3834,7514641,Middletown
351,Enterprise Rent A Car,60504-7114,7088700,Aurora
352,Gartner Buick Hyundai Saab,38701-8047,8458735,Greenville
353,Hatfield Volkswagen,99301-3882,6244359,Pasco
354,Iceberg Rentals,53546-9427,8804792,Janesville
355,Tri-State Mack Inc,85257-3102,8182025,Scottsdale
356,Ryder Truck Rental and Leasing,06457-3834,8041492,Middletown
357,Saab-Belle Dodge,60504-7114,6241610,Aurora
358,Scrivener Performance Engineering,38701-8047,6552853,Greenville
359,Star Enterprises Inc,99301-3882,8706152,Pasco
360,Progressive Shippers Cooperative Association No,53546-9427,7860814,Aurora
361,Tri-State Mack Inc,85257-3102,7746769,Scottsdale
362,U-Haul CO,78758-7841,7801790,Austin
363,Progressive Shippers Cooperative Association No,53546-9427,8319148,Janesville
364,Saab-Belle Dodge,60504-7114,8127221,Aurora
365,Scrivener Performance Engineering,38701-8047,6218737,Greenville
366,Star Enterprises Inc,99301-3882,7581505,Pasco
367,Suburban Ford,53546-9427,6592847,Janesville
368,Tri-State Mack Inc,85257-3102,6828784,Scottsdale
369,U-Haul CO,78758-7841,7539512,Austin
370,Buddy Storbeck's Diesel Service Inc,06457-3834,8952847,Middletown
371,C & M Motors Inc,60504-7114,7453504,Aurora
372,Capitol KIA,38701-8047,7560129,Greenville
373,New Castle Ford Lincoln Mercury,60504-7114,8091325,Aurora
374,Pars Auto Sales,38701-8047,8263309,Greenville
375,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,7230075,Pasco
376,Scrivener Performance Engineering,38701-8047,8420039,Greenville
377,Rabun Used Car Sales,85257-3102,7056941,Scottsdale
378,Race Car Help,78758-7841,8643280,Austin
379,Ryder Truck Rental and Leasing,06457-3834,7160885,Middletown
380,Saab-Belle Dodge,60504-7114,6838175,Aurora
381,Tri-State Mack Inc,85257-3102,8481912,Austin
382,Star Enterprises Inc,99301-3882,7958184,Janesville
383,Scrivener Performance Engineering,38701-8047,7512196,Scottsdale
384,Tri-State Mack Inc,85257-3102,8501584,Austin
385,Tri-State Mack Inc,85257-3102,8843407,Aurora
386,Progressive Shippers Cooperative Association No,53546-9427,8984113,Aurora
387,Rabun Used Car Sales,85257-3102,8570948,Greenville
388,Race Car Help,78758-7841,8869724,Pasco
389,Ryder Truck Rental and Leasing,06457-3834,6040770,Janesville
390,Saab-Belle Dodge,60504-7114,6267907,Scottsdale
391,McKinney Dodge Chrysler Jeep,85257-3102,6373366,Scottsdale
392,Motor Vehicle Branch Office,78758-7841,6799958,Austin
393,Suburban Ford,53546-9427,8000230,Janesville
394,Race Car Help,78758-7841,8699809,Austin
395,Chrysler of Tri-Cities,99301-3882,8952066,Pasco
396,Chrysler Plymouth,53546-9427,7152789,Janesville
397,Star Enterprises Inc,99301-3882,7124758,Pasco
398,Suburban Ford,53546-9427,8790575,Janesville
399,Scrivener Performance Engineering,38701-8047,8724403,Austin
400,Star Enterprises Inc,99301-3882,8601323,Middletown
401,Nebo Chevrolet,06457-3834,8005217,Middletown
402,New Castle Ford Lincoln Mercury,60504-7114,6988989,Aurora
403,Pars Auto Sales,38701-8047,8155813,Greenville
404,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,6863920,Pasco
405,Ryder Truck Rental and Leasing,06457-3834,6208717,Middletown
406,Saab-Belle Dodge,60504-7114,7719614,Aurora
407,Scrivener Performance Engineering,38701-8047,8127385,Greenville
408,Star Enterprises Inc,99301-3882,6088402,Pasco
409,Classic Chevy,85257-3102,8851769,Scottsdale
410,Clay Johnson Auto Sales,78758-7841,8121200,Austin
411,Diehl Motor CO Inc,06457-3834,8600506,Middletown
412,Enterprise Rent A Car,60504-7114,6367069,Aurora
413,Tri-State Mack Inc,85257-3102,6000458,Scottsdale
414,U-Haul CO,78758-7841,6726247,Austin
415,Progressive Shippers Cooperative Association No,53546-9427,8426599,Janesville
416,Rabun Used Car Sales,85257-3102,7963438,Scottsdale
417,Suburban Ford,53546-9427,7256054,Aurora
418,Tri-State Mack Inc,85257-3102,8326958,Greenville
419,U-Haul CO,78758-7841,7026144,Pasco
420,Buddy Storbeck's Diesel Service Inc,06457-3834,7722013,Janesville
421,Progressive Shippers Cooperative Association No,53546-9427,7886047,Janesville
422,Rabun Used Car Sales,85257-3102,6816141,Scottsdale
423,Race Car Help,78758-7841,6228155,Austin
424,Ryder Truck Rental and Leasing,06457-3834,6615917,Middletown
425,Saab-Belle Dodge,60504-7114,6595968,Aurora
426,Suburban Ford,53546-9427,8184715,Janesville
427,Tri-State Mack Inc,85257-3102,6544854,Scottsdale
428,U-Haul CO,78758-7841,6759646,Austin
429,Buddy Storbeck's Diesel Service Inc,06457-3834,8526296,Middletown
430,C & M Motors Inc,60504-7114,8905811,Aurora
431,Gartner Buick Hyundai Saab,38701-8047,8328637,Greenville
432,Hatfield Volkswagen,99301-3882,6748072,Pasco
433,Iceberg Rentals,53546-9427,6457683,Janesville
434,McKinney Dodge Chrysler Jeep,85257-3102,6381408,Scottsdale
435,Motor Vehicle Branch Office,78758-7841,7925467,Austin
436,Race Car Help,78758-7841,7091237,Austin
437,Ryder Truck Rental and Leasing,06457-3834,8919137,Middletown
438,Saab-Belle Dodge,60504-7114,8582152,Aurora
439,Scrivener Performance Engineering,38701-8047,8831276,Greenville
440,Star Enterprises Inc,99301-3882,7608332,Pasco
441,C & M Motors Inc,60504-7114,7126712,Scottsdale
442,Capitol KIA,38701-8047,6617039,Austin
443,Buddy Storbeck's Diesel Service Inc,06457-3834,7669561,Pasco
444,Chrysler Plymouth,53546-9427,7540134,Aurora
445,Classic Chevy,85257-3102,8749967,Greenville
446,Scrivener Performance Engineering,38701-8047,8069059,Greenville
447,Capitol KIA,38701-8047,7059355,Greenville
448,Nebo Chevrolet,06457-3834,8416308,Middletown
449,Suburban Ford,53546-9427,8983215,Janesville
450,Gartner Buick Hyundai Saab,38701-8047,7363601,Greenville
451,Star Enterprises Inc,99301-3882,6327743,Pasco
452,Suburban Ford,53546-9427,8019490,Janesville
453,Tri-State Mack Inc,85257-3102,8588830,Scottsdale
454,U-Haul CO,78758-7841,7580374,Austin
455,Progressive Shippers Cooperative Association No,53546-9427,8766594,Janesville
456,Rabun Used Car Sales,85257-3102,7618560,Scottsdale
457,Race Car Help,78758-7841,7460379,Austin
458,Chrysler of Tri-Cities,99301-3882,6540020,Pasco
459,Chrysler Plymouth,53546-9427,7249749,Janesville
460,Classic Chevy,85257-3102,6132994,Scottsdale
461,Clay Johnson Auto Sales,78758-7841,8767784,Austin
462,Diehl Motor CO Inc,06457-3834,7586964,Middletown
463,Buddy Storbeck's Diesel Service Inc,06457-3834,8206647,Middletown
464,Gartner Buick Hyundai Saab,38701-8047,8938872,Greenville
465,New Castle Ford Lincoln Mercury,60504-7114,7126248,Aurora
466,Pars Auto Sales,38701-8047,8380627,Greenville
467,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,8958510,Pasco
468,Progressive Shippers Cooperative Association No,53546-9427,8306867,Janesville
